"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"NIYLGUH8","journalArticle","2006","Kollman, DM; Brown, TA; Liverant, GI; Hofmann, SG","A taxometric investigation of the latent structure of social anxiety disorder in outpatients with anxiety and mood disorders","DEPRESSION AND ANXIETY","","1091-4269","10.1002/da.20158","","","2006","2025-04-20 13:39:13","2025-04-20 16:29:55","","190-199","","4","23","","","","","","","","","","","","","","WOS:000239127200002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLVBLRVS","journalArticle","2009","Olatunji, BO; Broman-Fulks, JJ","Latent structure of aversion: Taxometric exploration","JOURNAL OF ANXIETY DISORDERS","","0887-6185","10.1016/j.janxdis.2008.04.002","","","2009-01","2025-04-20 13:39:13","2025-04-20 16:29:50","","87-92","","1","23","","","","","","","","","","","","","","WOS:000262760400011","","","","","","","30; 40; Adulthood (18 yrs &amp; Anxiety; Aversion; Disgust; Fear; Middle Age (40-64 yrs); older); Taxonomies; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AB3RUKCH","journalArticle","2012","O'Brien, BA; Wolf, M; Lovett, MW","A Taxometric Investigation of Developmental Dyslexia Subtypes","DYSLEXIA","","1076-9242","10.1002/dys.1431","","","2012-02","2025-04-20 13:39:13","2025-04-20 16:29:53","","16-39","","1","18","","","","","","","","","","","","","","WOS:000299412700002","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/22228709","Childhood (birth-12 yrs); Developmental Disabilities; Dyslexia; School Age (6-12 yrs); Severity (Disorders); Subtypes (Disorders); Taxonomies","Child; Cohort Studies; Disability Evaluation; Factor Analysis, Statistical; Female; Humans; Language Tests; Male; Models, Neurological; Reading; Verbal Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LH66EUFR","journalArticle","2025","Cerny, BM; Leib, SI; Robinson, AD; Ulrich, DM; Phillips, MS; Lee, EJ; Soble, JR","Neurocognitive Phenotypes Among Adults With Attention-Deficit Hyperactivity Disorder: A Latent Profile Analysis","NEUROPSYCHOLOGY","","0894-4105","10.1037/neu0000991","","","2025-02","2025-04-20 13:39:13","2025-04-20 16:29:50","","187-199","","2","39","","","","","","","","","","","","","","WOS:001422073900005","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/39946638","30; 40; Adulthood (18 yrs &amp; Attention Deficit Disorder with Hyperactivity; Diagnosis; Neurocognition; Neuropsychology; older); Phenotypes","Adolescent; Adult; Attention; Cognitive Dysfunction; Female; Humans; Latent Class Analysis; Male; Middle Aged; Neuropsychological Tests; Phenotype; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAHAHQTP","journalArticle","2012","Marcus, DK; Norris, AL; Coccaro, EF","The latent structure of attention deficit/hyperactivity disorder in an adult sample","JOURNAL OF PSYCHIATRIC RESEARCH","","0022-3956","10.1016/j.jpsychires.2012.03.010","","","2012-06","2025-04-20 13:39:13","2025-04-20 16:29:49","","782-789","","6","46","","","","","","","","","","","","","","WOS:000305494100014","","","","","/Users/tita/Zotero/storage/G56MBYYJ/Marcus et al. - 2012 - The latent structure of attention deficithyperactivity disorder in an adult sample.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/22480749","30; 40; Adulthood (18 yrs &amp; Aged (65 yrs &amp; Attention Deficit Disorder with Hyperactivity; Latent Inhibition; Middle Age (40-64 yrs); older); Symptoms; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adolescent; Adult; Aged; Attention; Data Collection; Female; Humans; Hyperkinesis; Impulsive Behavior; Male; Middle Aged; Psychiatric Status Rating Scales; Self Report; Sex Factors; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXGWUPNG","journalArticle","2006","Haslam, N; Williams, B; Prior, M; Haslam, R; Graetz, B; Sawyer, M","The latent structure of attention-deficit/hyperactivity disorder: a taxometric analysis","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY","","0004-8674","10.1111/j.1440-1614.2006.01863.x","","","2006-08","2025-04-20 13:39:13","2025-04-20 16:29:48","","639-647","","8","40","","","","","","","","","","","","","","WOS:000238747800005","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/16866759","30; 40; Adolescence (13-17 yrs); Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Psychodiagnostic Typologies; School Age (6-12 yrs); Taxonomies","Adolescent; Australia; Causality; Child; Child, Preschool; Comorbidity; Cross-Sectional Studies; Diagnostic and Statistical Manual of Mental Disorders; Female; Humans; Male; Mathematical Computing; Mental Disorders; Personality Assessment; Psychometrics; Reproducibility of Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNGUQK4K","journalArticle","2007","Frazier, TW; Youngstrom, EA; Naugle, RI","The latent structure of attention-deficit/hyperactivity disorder in a clinic-referred sample","NEUROPSYCHOLOGY","","0894-4105","10.1037/0894-4105.21.1.45","","","2007-01","2025-04-20 13:39:13","2025-04-20 16:29:48","","45-64","","1","21","","","","","","","","","","","","","","WOS:000243215400005","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/17201529","30; 40; Adolescence (13-17 yrs); Adulthood (18 yrs &amp; Aged (65 yrs &amp; Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Middle Age (40-64 yrs); older); Preschool Age (2-5 yrs); School Age (6-12 yrs); Subtypes (Disorders); Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adolescent; Adult; Attention; Female; Humans; Male; Neuropsychological Tests; Problem Solving; Psychiatric Status Rating Scales; Referral and Consultation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTJ2INT8","journalArticle","2011","Marcus, DK; Barry, TD","Does Attention-Deficit/Hyperactivity Disorder Have a Dimensional Latent Structure? A Taxometric Analysis","JOURNAL OF ABNORMAL PSYCHOLOGY","","0021-843X","10.1037/a0021405","","","2011-05","2025-04-20 13:39:13","2025-04-20 16:29:51","","427-442","","2","120","","","","","","","","","","","","","","WOS:000290595900014","","","","","/Users/tita/Zotero/storage/QPL7UH5C/Marcus and Barry - 2011 - Does attention-deficithyperactivity disorder have a dimensional latent structure A taxometric anal.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/20973595","30; 40; Adulthood (18 yrs &amp; Attention Deficit Disorder with Hyperactivity; Causal Analysis; Childhood (birth-12 yrs); older); School Age (6-12 yrs); Taxonomies","Attention; Child; Child Behavior; Factor Analysis, Statistical; Female; Humans; Hyperkinesis; Male; Psychiatric Status Rating Scales; Surveys and Questionnaires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZTT2YV2","journalArticle","2007","Lenzenweger, MF; McLachlan, G; Rubin, DB","Resolving the latent structure of schizophrenia endophenotypes using expectation-maximization-based finite mixture modeling","JOURNAL OF ABNORMAL PSYCHOLOGY","","0021-843X","10.1037/0021-843X.116.1.16","","","2007-02","2025-04-20 13:39:13","2025-04-20 16:29:49","","16-29","","1","116","","","","","","","","","","","","","","WOS:000244162200002","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/17324013","Adulthood (18 yrs &amp; At Risk Populations; Cognitive Impairment; Endophenotype; Item Response Theory; Middle Age (40-64 yrs); Mixture Modeling; older); Phenotypes; Schizophrenia; Statistical Analysis; Susceptibility (Disorders); Sustained Attention; Thirties (30-39 yrs); Visual Tracking; Young Adulthood (18-29 yrs)","Attention; Cognition Disorders; Eye Movements; Female; Humans; Male; Middle Aged; Phenotype","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VV72G6JG","journalArticle","2014","Salum, GA; Sonuga-Barke, E; Sergeant, J; Vandekerckhove, J; Gadelha, A; Moriyama, TS; Graeff-Martins, AS; Manfro, GG; Polanczyk, G; Rohde, LAP","Mechanisms underpinning inattention and hyperactivity: neurocognitive support for ADHD dimensionality","PSYCHOLOGICAL MEDICINE","","0033-2917","10.1017/S0033291714000919","","","2014-11","2025-04-20 13:39:13","2025-04-20 16:29:50","","3189-3201","","15","44","","","","","","","","","","","","","","WOS:000344467900005","","","","","; /Users/tita/Zotero/storage/CU47BPTN/Salum et al. - 2014 - Mechanisms underpinning inattention and hyperactivity neurocognitive support for ADHD dimensionalit.pdf","http://www.ncbi.nlm.nih.gov/pubmed/25065454","30; 40; Attention; Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Hyperactivity; Neurocognition; Neuropsychology; School Age (6-12 yrs)","Brazil; Child; Cognition; Executive Function; Female; Humans; Inhibition, Psychological; Male; Severity of Illness Index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
