"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8SYX35C8","journalArticle","2015","Lubke, GH; Miller, PJ","Does nature have joints worth carving? A discussion of taxometrics, model-based clustering and latent variable mixture modeling","PSYCHOLOGICAL MEDICINE","","0033-2917","10.1017/S003329171400169X","","","2015-03","2025-04-15 11:29:50","2025-04-20 16:29:51","","705-715","","4","45","","","","","","","","","","","","","","WOS:000349618900003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WIUG2HT","journalArticle","2012","Coghill, D; Sonuga-Barke, EJS","Annual Research Review: Categories versus dimensions in the classification and conceptualisation of child and adolescent mental disorders - implications of recent empirical study","JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","","0021-9630","10.1111/j.1469-7610.2011.02511.x","","","2012-05","2025-04-15 11:29:50","2025-04-20 16:29:52","","469-489","","5","53","","","","","","","","","","","","","","WOS:000302462800003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UUSS6XUK","journalArticle","2014","Newbury, DF; Monaco, AP; Paracchini, S","Reading and Language Disorders: The Importance of Both Quantity and Quality","GENES","","2073-4425","10.3390/genes5020285","","","2014-06","2025-04-15 11:29:50","2025-04-20 16:29:50","","285-309","","2","5","","","","","","","","","","","","","","WOS:000348857700003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NIYLGUH8","journalArticle","2006","Kollman, DM; Brown, TA; Liverant, GI; Hofmann, SG","A taxometric investigation of the latent structure of social anxiety disorder in outpatients with anxiety and mood disorders","DEPRESSION AND ANXIETY","","1091-4269","10.1002/da.20158","","","2006","2025-04-20 13:39:13","2025-04-20 16:29:55","","190-199","","4","23","","","","","","","","","","","","","","WOS:000239127200002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLVBLRVS","journalArticle","2009","Olatunji, BO; Broman-Fulks, JJ","Latent structure of aversion: Taxometric exploration","JOURNAL OF ANXIETY DISORDERS","","0887-6185","10.1016/j.janxdis.2008.04.002","","","2009-01","2025-04-20 13:39:13","2025-04-20 16:29:50","","87-92","","1","23","","","","","","","","","","","","","","WOS:000262760400011","","","","","","","30; 40; Adulthood (18 yrs &amp; Anxiety; Aversion; Disgust; Fear; Middle Age (40-64 yrs); older); Taxonomies; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AB3RUKCH","journalArticle","2012","O'Brien, BA; Wolf, M; Lovett, MW","A Taxometric Investigation of Developmental Dyslexia Subtypes","DYSLEXIA","","1076-9242","10.1002/dys.1431","","","2012-02","2025-04-20 13:39:13","2025-04-20 16:29:53","","16-39","","1","18","","","","","","","","","","","","","","WOS:000299412700002","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/22228709","Childhood (birth-12 yrs); Developmental Disabilities; Dyslexia; School Age (6-12 yrs); Severity (Disorders); Subtypes (Disorders); Taxonomies","Child; Cohort Studies; Disability Evaluation; Factor Analysis, Statistical; Female; Humans; Language Tests; Male; Models, Neurological; Reading; Verbal Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LH66EUFR","journalArticle","2025","Cerny, BM; Leib, SI; Robinson, AD; Ulrich, DM; Phillips, MS; Lee, EJ; Soble, JR","Neurocognitive Phenotypes Among Adults With Attention-Deficit Hyperactivity Disorder: A Latent Profile Analysis","NEUROPSYCHOLOGY","","0894-4105","10.1037/neu0000991","","","2025-02","2025-04-20 13:39:13","2025-04-20 16:29:50","","187-199","","2","39","","","","","","","","","","","","","","WOS:001422073900005","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/39946638","30; 40; Adulthood (18 yrs &amp; Attention Deficit Disorder with Hyperactivity; Diagnosis; Neurocognition; Neuropsychology; older); Phenotypes","Adolescent; Adult; Attention; Cognitive Dysfunction; Female; Humans; Latent Class Analysis; Male; Middle Aged; Neuropsychological Tests; Phenotype; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TZKAUZH","book","2019","Anastasiou, D","POLITICS AND SCIENCE IN THE RTI TIME On the Classification and Identification of Learning Disabilities","","978-0-203-10295-4","","","","","2019","2025-04-20 13:39:13","2025-04-20 13:39:13","","","40","","","","","","HANDBOOK OF RESPONSE TO INTERVENTION AND MULTI-TIERED SYSTEMS OF SUPPORT","","","","","","","","","","WOS:000827405600006","","","Pages: 62","","","","","","Pullen, PC; Kennedy, MJ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAHAHQTP","journalArticle","2012","Marcus, DK; Norris, AL; Coccaro, EF","The latent structure of attention deficit/hyperactivity disorder in an adult sample","JOURNAL OF PSYCHIATRIC RESEARCH","","0022-3956","10.1016/j.jpsychires.2012.03.010","","","2012-06","2025-04-20 13:39:13","2025-04-20 16:29:49","","782-789","","6","46","","","","","","","","","","","","","","WOS:000305494100014","","","","","/Users/tita/Zotero/storage/G56MBYYJ/Marcus et al. - 2012 - The latent structure of attention deficithyperactivity disorder in an adult sample.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/22480749","30; 40; Adulthood (18 yrs &amp; Aged (65 yrs &amp; Attention Deficit Disorder with Hyperactivity; Latent Inhibition; Middle Age (40-64 yrs); older); Symptoms; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adolescent; Adult; Aged; Attention; Data Collection; Female; Humans; Hyperkinesis; Impulsive Behavior; Male; Middle Aged; Psychiatric Status Rating Scales; Self Report; Sex Factors; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXGWUPNG","journalArticle","2006","Haslam, N; Williams, B; Prior, M; Haslam, R; Graetz, B; Sawyer, M","The latent structure of attention-deficit/hyperactivity disorder: a taxometric analysis","AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY","","0004-8674","10.1111/j.1440-1614.2006.01863.x","","","2006-08","2025-04-20 13:39:13","2025-04-20 16:29:48","","639-647","","8","40","","","","","","","","","","","","","","WOS:000238747800005","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/16866759","30; 40; Adolescence (13-17 yrs); Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Psychodiagnostic Typologies; School Age (6-12 yrs); Taxonomies","Adolescent; Australia; Causality; Child; Child, Preschool; Comorbidity; Cross-Sectional Studies; Diagnostic and Statistical Manual of Mental Disorders; Female; Humans; Male; Mathematical Computing; Mental Disorders; Personality Assessment; Psychometrics; Reproducibility of Results","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
