Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Dollaghan, CA",,,,"Dollaghan, CA",,,Taxometric analyses of specific language impairment in 3-and 4-year-old children,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,,,,,Symposium on Research in Child Language Disorders,1999,"UNIV WISCONSIN, MADISON, WI",,UNIV WISCONSIN,,,"Specific language impairment (SLI), like many diagnostic labels for complex behavioral conditions, is often assumed to define a category of children who differ not only in degree but also in kind from children developing language normally. Although this assumption has important implications for theoretical models and clinical approaches, its validity has not been tested. In this study, distributions of language scores from children at ages 3 (N = 620) and 4 (N = 623) years were analyzed using a taxometric procedure known as mean above minus below a cut (MAMBAC; P. E. Meehl & L. J. Yonce, 1994). Language scores were distributed dimensionally at both ages, failing to support the hypothesis of a qualitatively distinct group corresponding to children with SLI.",,,,,,,,,,,,,,,,,,,1092-4388,1558-9102,,,,APR,2004,47,2,,,,,464,475,,10.1044/1092-4388(2004/037),http://dx.doi.org/10.1044/1092-4388(2004/037),,,,,,,,15157144,,,,,WOS:000232285300018,View Full Record in Web of Science
J,"Dollaghan, CA",,,,"Dollaghan, Christine A.",,,Taxometric Analyses of Specific Language Impairment in 6-Year-Old Children,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,,,,,,,,,,,,"Purpose: To determine whether language scores at age 6 years suggest that specific language impairments (SLIs) distribute in a categorical or in a dimensional fashion. Method: A taxometric analysis of language scores from 601 six-year-old children who were free of neonatal risk factors was performed. From among 4 candidate indicators of SLI, 2 were eligible for the mean above minus below a cut (MAMBAC) procedure (Meehl & Yonce, 1994): number of different words (NDW) produced in a language sample and average percentage phonemes repeated correctly in 3- and 4-syllable nonwords (3-4 PPC). Graphs of these MAMBAC variables were inspected to determine whether they patterned in a manner suggesting the presence of a discrete category, having either a central peak or a steep curve peaking near the final interval. Results: MAMBAC curves for NDW and 3-4 PPC did not suggest the presence of a taxon, and results did not vary during consistency checks in which MAMBAC parameters and cutoff values for language deficits were manipulated. Conclusions: Results suggest that for these measures, children with specific language deficits are those falling at the lower end of a continuous distribution of language skills rather than a qualitatively distinct group.",,,,,,,,,,,,,,,,,,,1092-4388,1558-9102,,,,OCT 1,2011,54,5,,,,,1361,1371,,10.1044/1092-4388(2011/10-0187),http://dx.doi.org/10.1044/1092-4388(2011/10-0187),,,,,,,,21646422,,,,,WOS:000295537200010,View Full Record in Web of Science
J,"Leonard, LB",,,,"Leonard, Laurence B.",,,Specific Language Impairment Across Languages,CHILD DEVELOPMENT PERSPECTIVES,,,,,,,,,,,,"Children with specific language impairment (SLI) have a significant and longstanding deficit in spoken language ability that adversely affects their social and academic well-being. Studies of children with SLI in a wide variety of languages reveal diverse symptoms, most of which seem to reflect weaknesses in grammatical computation and phonological short-term memory. The symptoms of the disorder are sensitive to the type of language being acquired, with extraordinary weaknesses seen in those areas of language that are relatively challenging for younger typically developing children. Although these children's deficits warrant clinical and educational attention, their weaknesses might reflect the extreme end of a language aptitude continuum rather than a distinct, separable condition.",,,,,,"Leonard, Laurence/0000-0002-9189-4438",,,,,,,,,,,,,1750-8592,1750-8606,,,,MAR,2014,8,1,,,,,1,5,,10.1111/cdep.12053,http://dx.doi.org/10.1111/cdep.12053,,,,,,,,24765105,,,,,WOS:000331265600001,View Full Record in Web of Science
J,"Archibald, LMD; Griebeling, KH",,,,"Archibald, Lisa M. D.; Griebeling, Katherine Harder",,,Rethinking the connection between working memory and language impairment,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,,,,,,,,,,,,"Background: Working memory deficits have been found for children with specific language impairment (SLI) on tasks imposing increasing short-term memory load with or without additional, consistent (and simple) processing load.Aims: To examine the processing function of working memory in children with low language (LL) by employing tasks imposing increasing processing loads with constant storage demands individually adjusted based on each participant's short-term memory capacity.Methods & Procedures: School-age groups with LL (n = 17) and typical language with either average (n = 28) or above-average nonverbal intelligence (n = 15) completed complex working memory-span tasks varying processing load while keeping storage demands constant, varying storage demands while keeping processing load constant, simple storage-span tasks, and measures of language and nonverbal intelligence. Teachers completed questionnaires about cognition and learning.Outcomes & Results: Significantly lower scores were found for the LL than either matched group on storage-based tasks, but no group differences were found on the tasks varying processing load. Teachers' ratings of oral expression and mathematics abilities discriminated those who did or did not complete the most challenging cognitive tasks.Conclusions & Implications: The results implicate a deficit in the phonological storage but not in the central executive component of working memory for children with LL. Teacher ratings may reveal personality traits related to perseverance of effort in cognitive research.",,,,,,,,,,,,,,,,,,,1368-2822,1460-6984,,,,MAY,2016,51,3,,,,,252,264,,10.1111/1460-6984.12202,http://dx.doi.org/10.1111/1460-6984.12202,,,,,,,,26541936,,,,,WOS:000374688300003,View Full Record in Web of Science
J,"Lancaster, HS; Camarata, S",,,,"Lancaster, Hope S.; Camarata, Stephen",,,Reconceptualizing developmental language disorder as a spectrum disorder: issues and evidence,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,,,,,,,,,,,,"Background There is considerable variability in the presentation of developmental language disorder (DLD). Disagreement amongst professionals about how to characterize and interpret the variability complicates both the research on understanding the nature of DLD and the best clinical framework for diagnosing and treating children with DLD. We describe and statistically examine three primary possible models for characterizing the variability in presentation in DLD: predictable subtypes; individual differences; and continuum/spectrum. Aims To test these three models of DLD in a population-based sample using two distinct types of cluster analyses. Methods & Procedures This study included children with DLD (n = 505) from the US Epidemiological Study of Language Impairment database. All available language and cognitive measures were included. Two cluster methods were used: Ward's method and K-means. Optimal cluster sizes were selected using Bayesian information criteria (BIC). Bootstrapping and permutation methods were used to evaluate randomness of clustering. Outcomes & Results Both clustering analyses yielded more than 10 clusters, and the clusters did not have spatial distinction: many of these clusters were not clinically interpretable. However, tests of random clustering revealed that the cluster solutions obtained did not arise from random aggregation. Conclusions & Implications Non-random clustering coupled with a large number of non-interpretable subtypes provides empirical support for the continuum/spectrum and individual differences models. Although there was substantial support for the continuum/spectrum model and weaker support for the individual differences model, additional research testing these models should be completed. Based on these results, clinicians working with children with DLD should focus on creating treatment plans that address the severity of functioning rather than seeking to identify and treat distinct subtypes. Additional consideration should be given to reconceptualizing DLD as a spectrum condition.",,,,,"Lancaster, Hope/AAP-8691-2021; Camarata, Stephen/KQU-0477-2024","Lancaster, Hope/0000-0001-9924-9508; Camarata, Stephen/0000-0002-3342-1747",,,,,,,,,,,,,1368-2822,1460-6984,,,,JAN-FEB,2019,54,1,,,,,79,94,,10.1111/1460-6984.12433,http://dx.doi.org/10.1111/1460-6984.12433,,,,,,,,30426606,,,,,WOS:000454678800010,View Full Record in Web of Science
J,"Riches, NG",,,,"Riches, Nick G.",,,Complex sentence profiles in children with Specific Language Impairment: Are they really atypical?,JOURNAL OF CHILD LANGUAGE,,,,,,,,,,,,"Children with Specific Language Impairment (SLI) have language difficulties of unknown origin. Syntactic profiles are atypical, with poor performance on non-canonical structures, e.g. object relatives, suggesting a localized deficit. However, existing analyses using ANOVAs are problematic because they do not systematically address unequal variance, or fully model random effects. Consequently, a Generalised Linear Model (GLM) was used to analyze data from a Sentence Repetition (SR) task involving relative clauses. seventeen children with SLI (mean age 6;7), twenty-one Language Matched (LM) children (mean age 4;8), and seventeen Age Matched (AM) children (mean age 6;5) repeated 100 canonical and non-canonical sentences. ANOVAs found a significant Group by Canonicity interaction for the SLI versus AM contrast only. However, the GLM found no significant interaction. Consequently, arguments for a localized deficit may depend on statistical methods which are prone to exaggerate profile differences. Nonetheless, a subgroup of SLI exhibited particularly severe structural language difficulties.",,,,,,,,,,,,,,,,,,,0305-0009,1469-7602,,,,MAR,2017,44,2,,,,,269,296,,10.1017/S0305000915000847,http://dx.doi.org/10.1017/S0305000915000847,,,,,,,,26876093,,,,,WOS:000398208100001,View Full Record in Web of Science
J,"Newbury, DF; Monaco, AP; Paracchini, S",,,,"Newbury, Dianne F.; Monaco, Anthony P.; Paracchini, Silvia",,,Reading and Language Disorders: The Importance of Both Quantity and Quality,GENES,,,,,,,,,,,,"Reading and language disorders are common childhood conditions that often co-occur with each other and with other neurodevelopmental impairments. There is strong evidence that disorders, such as dyslexia and Specific Language Impairment (SLI), have a genetic basis, but we expect the contributing genetic factors to be complex in nature. To date, only a few genes have been implicated in these traits. Their functional characterization has provided novel insight into the biology of neurodevelopmental disorders. However, the lack of biological markers and clear diagnostic criteria have prevented the collection of the large sample sizes required for well-powered genome-wide screens. One of the main challenges of the field will be to combine careful clinical assessment with high throughput genetic technologies within multidisciplinary collaborations.",,,,,"Monaco, Anthony/A-4495-2010; Paracchini, Silvia/AAU-6813-2021","Monaco, Anthony/0000-0001-7480-3197; Paracchini, Silvia/0000-0001-9934-8602",,,,,,,,,,,,,,2073-4425,,,,JUN,2014,5,2,,,,,285,309,,10.3390/genes5020285,http://dx.doi.org/10.3390/genes5020285,,,,,,,,24705331,,,,,WOS:000348857700003,View Full Record in Web of Science
J,"Mullen, G",,,,"Mullen, Georgina",,,Intellectual disability and attachment theory among adults: An early systematic review,JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,,,,,,,,,,,,"Background: The aim of this systematic review was to identify and critically appraise empirical research regarding attachment theory among adults with an intellectual disability. Method: A systematic search was carried out in Psycinfo and CINHAL databases. Only five studies met selection criteria. Results: Three main findings were identified: (1) there is a scarcity of empirical research regarding attachment concepts among adults with ID, related to a lack of established measures among this population; (2) there is some evidence that insecure attachment among adults with ID is associated with adverse early life experiences and current mental health difficulties; and (3) there is conflicting evidence that attachment behaviours may present as challenging to supporters. Conclusions: Further research seeking valid and reliable measures is needed with greater numbers of participants with diverse levels of ID.",,,,,,,,,,,,,,,,,,,1366-8250,1469-9532,,,,,2018,43,3,,,SI,,252,263,,10.3109/13668250.2017.1410769,http://dx.doi.org/10.3109/13668250.2017.1410769,,,,,,,,,,,,,WOS:000434337500002,View Full Record in Web of Science
J,"Bate, S; Portch, E; Bennetts, RJ; Parris, BA",,,,"Bate, Sarah; Portch, Emma; Bennetts, Rachel J.; Parris, Benjamin A.",,,A taxometric analysis of developmental prosopagnosia: Evidence for a categorically distinct impairment,CORTEX,,,,,,,,,,,,"Poor performance on cognitive assessment tasks may indicate a selective 'impairment'. However, it is unclear whether such difficulties separate the individual from the general population qualitatively (i.e., they form a discrete group) or quantitatively (i.e., they represent the lower end of a continuous distribution). Taxometric methods address this question but have rarely been applied to cognitive disorders. This study examined the latent structure of developmental prosopagnosia (DP)- a relatively selective deficit in face recognition that occurs in the absence of neurological injury. Multiple taxometric procedures were applied to dominant diagnostic indices of face recognition ability across two independent datasets. All analyses supported a categorical outcome, even for mild cases of DP, suggesting that it is a qualitatively distinct condition. This finding has significant implications for our understanding of DP given it has traditionally been viewed as a continuous impairment. In particular, existing (arbitrary) diagnostic cut-offs may be too conservative, underestimating prevalence rates and prohibiting big-data approaches to theoretical study. More broadly, these conclusions support application of the taxometric method to many other cognitive processes where weaknesses are predominantly assumed to reside on a continuous distribution. (c) 2024 The Author(s). Published by Elsevier Ltd. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).",,,,,"Bennetts, Rachel/L-7309-2019",,,,,,,,,,,,,,0010-9452,1973-8102,,,,FEB,2025,183,,,,,,131,145,,10.1016/j.cortex.2024.10.021,http://dx.doi.org/10.1016/j.cortex.2024.10.021,,DEC 2024,,,,,,39637624,,,,,WOS:001373691000001,View Full Record in Web of Science
J,"McGregor, KK; Goffman, L; Plante, E; Werfel, K",,,,"McGregor, Karla K.; Goffman, Lisa; Plante, Elena; Werfel, Krystal",,,Developmental Language Disorder as a Multidimensional Neurodevelopmental Spectrum: Implications for Diagnosis,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,,,,,,,,,,,,"Purpose: We aimed to create a comprehensive understanding of the dilemmas involved in the diagnosis of developmental language disorder (DLD) and to highlight the potential of a multidimensional spectral account of DLD for addressing these dilemmas. Method: We conducted an integrative literature review. Conclusions: Considerable gains in understanding the genetics and neurobiology of DLD provide new explanations for long-observed phenomena such as heterogeneity of presentation, phenotypic overlap with other neurodevelopmental conditions, and the challenges of diagnosis. Although categorical nosologies benefit diagnostic decision making, facilitate communication, and align well with bureaucratic systems, they offer overly simple ways of defining DLD. The presentation of DLD is broad rather than narrow, spectral rather than categorical, and dynamic rather than static; therefore, DLD is better described as a multidimensional spectral system than as a categorical entity. It is not practical or even advisable to abandon the traditional categorical framing of DLD at this point. However, maintaining awareness of the tension between the categorical framing and the spectral nature of DLD may improve diagnosis, prognosis, and alignment with the construct of neurodiversity.",,,,,,"McGregor, Karla/0000-0003-0612-0057",,,,,,,,,,,,,1092-4388,1558-9102,,,,DEC,2025,68,12,,,,,6069,6088,,10.1044/2025_JSLHR-25-00089,http://dx.doi.org/10.1044/2025_JSLHR-25-00089,,,,,,,,41237815,,,,,WOS:001650707600028,View Full Record in Web of Science
